original,replacement
Anangu Pitjantjatjara Yankunytjatjara,Anangu Pitjantjatjara Yunkunytjatjara
Armidale,Armidale Regional
Bathurst,Bathurst Regional
Bayside,Bayside (NSW)
Break O`Day,Break O'Day
Campbelltown,Campbelltown (NSW)
Central Coast,Central Coast (NSW)
Cootamundra-Gundagai,Cootamundra-Gundagai Regional
Dubbo,Dubbo Regional
Greater Hume,Greater Hume Shire
Mid-Western,Mid-Western Regional
Queanbeyan-Palerang,Queanbeyan-Palerang Regional
Snowy Monaro,Snowy Monaro Regional
Sutherland,Sutherland Shire
Tamworth,Tamworth Regional
The Hills,The Hills Shire
Unincorporated,Unincorp. Other Territories
Upper Hunter,Upper Hunter Shire
Upper Lachlan,Upper Lachlan Shire
Warrumbungle,Warrumbungle Shire
